Name,Street_Address,City,State,Zip-Code,Latitude,Longitude,Phone#,Loc Type,24/7 Self-Service
Circle K,5155 W Olive Ave,Glendale,AZ,85302,33.56697,-112.171133,,Propane Tank Exchange,False
Jacksons Food Stores,2096 E  Rio Salado Pkwy,Tempe,AZ,85281,33.429865,-111.899404,,Propane Tank Exchange,False
Candlewood Suites,11411 N Black Canyon Hwy,Phoenix,AZ,85029,33.589667,-112.115638,,Propane Tank Exchange,False
CVS,7499 W Bethany Home  Rd,Glendale,AZ,85303,33.522589,-112.219866,,Propane Tank Exchange,False
Albertsons,750 E Guadalupe,Tempe,AZ,85283,33.365103,-111.929706,,Propane Tank Exchange,False
Circle K,8140 E Indian School,Scottsdale,AZ,85251,33.4952,-111.904857,,Propane Tank Exchange,False
Circle K,4410 E Ray Road,Phoenix,AZ,85044,33.320809,-111.988532,,Propane Tank Exchange,False
Circle K,1501 W Warner Rd,Tempe,AZ,85284,33.334199,-111.963675,,Propane Tank Exchange,False
Circle K,8249 W Indian School Rd,Phoenix,AZ,85033,33.493913,-112.23747,,Propane Tank Exchange,False
Mobil,8316 W Indian School Rd,Phoenix,AZ,85037,33.492065,-112.238267,,Propane Tank Exchange,False
Circle K,905 E Guadalupe,Tempe,AZ,85283,33.363261,-111.928169,,Propane Tank Exchange,False
Circle K,1901 W Cactus Rd,Phoenix,AZ,85029,33.596045,-112.10022,,Propane Tank Exchange,False
Circle K,12201 N Cave Creek,Phoenix,AZ,85022,33.597285,-112.037181,,Propane Tank Exchange,False
Safeway,4811 North 83rd Ave,Phoenix,AZ,85033,33.507767,-112.235887,,Propane Tank Exchange,False
Circle K,2174 E University Dr,Tempe,AZ,85281,33.422468,-111.89249,,Propane Tank Exchange,False
Home Depot,12434 N Cave Creek Rd,Phoenix,AZ,85022,33.59973,-112.037853,,Propane Tank Exchange,False
Circle K,4939 E Ray Rd,Phoenix,AZ,85044,33.319188,-111.976619,,Propane Tank Exchange,False
